Software Name,version,EOL Date,Release Date
Unknown,Version,,
Unknown,145.7.x.x,2026-05-13,2026-02-12
Unknown,144.27.x.x,2026-05-05,2026-02-04
Unknown,144.23.x.x,2026-04-28,2026-01-28
Unknown,144.15.x.x,2026-04-21,2026-01-21
Unknown,144.6.x.x,2026-04-14,2026-01-14
Unknown,143.37.x.x,2026-04-07,2026-01-07
Unknown,143.31.x.x,2026-03-31,2025-12-31
Unknown,143.24.x.x,2026-03-24,2025-12-24
Unknown,143.18.x.x,2026-03-17,2025-12-17
Unknown,143.12.x.x,2026-03-11,2025-12-11
Unknown,143.6.x.x,2026-03-03,2025-12-03
Unknown,142.33.x.x,2026-02-25,2025-11-27
Unknown,142.28.x.x,2026-02-16,2025-11-18
Unknown,142.21.x.x,2026-02-10,2025-11-12
Unknown,142.15.x.x,2026-02-04,2025-11-06
Unknown,142.7.x.x,2026-01-27,2025-10-29
Unknown,141.22.x.x,2026-01-20,2025-10-22
Unknown,141.19.x.x,2026-01-13,2025-10-15
Unknown,141.12.x.x,2026-01-06,2025-10-08
Unknown,141.6.x.x,2025-12-30,2025-10-01
Unknown,140.26.x.x,2025-12-23,2025-09-24
Unknown,140.21.x.x,2025-12-17,2025-09-18
Unknown,140.14.x.x,2025-12-09,2025-09-10
Unknown,140.7.x.x,2025-12-02,2025-09-03
Unknown,139.23.x.x,2025-11-25,2025-08-27
Unknown,139.18.x.x,2025-11-18,2025-08-20
Unknown,139.12.x.x,2025-11-11,2025-08-13
Unknown,139.7.x.x,2025-11-05,2025-08-07
Unknown,138.69.x.x,2025-10-28,2025-07-30
Unknown,138.64.x.x,2025-10-21,2025-07-23
Unknown,138.53.x.x,2025-10-14,2025-07-16
Unknown,138.47.x.x,2025-10-07,2025-07-09
Unknown,138.40.x.x,2025-09-29,2025-07-01
Unknown,138.33.x.x,2025-09-23,2025-06-25
Unknown,137.27.x.x,2025-09-16,2025-06-18
Unknown,137.20.x.x,2025-09-09,2025-06-11
Unknown,137.16.x.x,2025-09-01,2025-06-03
Unknown,137.8.x.x,2025-08-26,2025-05-28
Unknown,136.33.x.x,2025-08-19,2025-05-21
Unknown,136.24.x.x,2025-08-12,2025-05-14
Unknown,136.17.x.x,2025-08-05,2025-05-07
Unknown,136.11.x.x,2025-07-29,2025-04-30
Unknown,135.27.x.x,2025-07-22,2025-04-23
Unknown,135.16.x.x,2025-07-08,2025-04-09
Unknown,135.10.x.x,2025-07-01,2025-04-02
Unknown,134.29.x.x,2025-06-24,2025-03-26
Unknown,134.20.x.x,2025-06-18,2025-03-20
Unknown,134.17.x.x,2025-06-09,2025-03-11
Unknown,134.7.x.x,2025-06-03,2025-03-05
Unknown,133.36.x.x,2025-05-27,2025-02-26
Unknown,133.27.x.x,2025-05-20,2025-02-19
Unknown,133.16.x.x,2025-05-14,2025-02-13
Unknown,133.8.x.x,2025-05-06,2025-02-05
Unknown,132.x.3025.x,2025-04-29,2025-01-29
Unknown,132.x.3017.x,2025-04-22,2025-01-22
Unknown,132.x.3010.x,2025-04-15,2025-01-15
Unknown,131.x.2999.x,2025-04-08,2025-01-08
Unknown,131.x.2995.x,2025-04-01,2025-01-01
Unknown,131.x.2986.x,2025-03-26,2024-12-26
Unknown,131.x.2976.x,2025-03-19,2024-12-19
Unknown,131.x.2968.x,2025-03-11,2024-12-11
Unknown,131.x.2963.x,2025-03-04,2024-12-04
Unknown,131.x.2955.x,2025-02-26,2024-11-28
Unknown,131.x.2948.x,2025-02-18,2024-11-20
Unknown,131.x.2943.x,2025-02-12,2024-11-14
Unknown,130.x.2936.x,2025-02-04,2024-11-06
Unknown,130.x.2931.x,2025-01-28,2024-10-30
Unknown,130.x2926.x,2025-01-21,2024-10-23
Unknown,130.x2920.x,2025-01-14,2024-10-16
Unknown,129.x2913.x,2025-01-07,2024-10-09
Unknown,129.x2910.x,2024-12-31,2024-10-02
Unknown,129.x2903.x,2024-12-24,2024-09-25
Unknown,129.x2896.x,2024-12-17,2024-09-18
Unknown,128.x.2888.x,2024-12-10,2024-09-11
Unknown,128.x.2884.x,2024-12-02,2024-09-03
Unknown,128.x.2877.x,2024-11-27,2024-08-28
Unknown,128.x.2869.x,2024-11-19,2024-08-21
Unknown,127.x.2863.x,2024-11-12,2024-08-14
Unknown,127.x.2858.x,2024-11-05,2024-08-07
Unknown,127.x.2853.x,2024-10-29,2024-07-31
Unknown,127.x.2849.x,2024-10-22,2024-07-24
Unknown,126.x.2844.x,2024-10-15,2024-07-17
Unknown,126.x.2842.x,2024-10-08,2024-07-10
Unknown,126.x.2834.x,2024-10-02,2024-07-04
Unknown,126.x.2826.x,2024-09-23,2024-06-25
Unknown,126.x.2819.x,2024-09-17,2024-06-19
Unknown,126.x.2811.x,2024-09-10,2024-06-12
Unknown,125.x.2804.x,2024-08-29,2024-05-31
Unknown,12.1,2028-08-28,2025-08-28
Unknown,11.2,2027-05-02,2024-05-02
Unknown,11.1,2027-05-03,2023-11-03
Unknown,11.0,2024-11-17,2022-11-17
Unknown,10.2,2025-08-27,2022-02-27
Unknown,10.1,2024-12-01,2021-05-31
Unknown,10.0,2022-07-16,2020-07-16
Unknown,9.1,2024-06-30,2019-12-13
Unknown,9.0-XFR (VM-Series only),2020-09-19,2019-09-19
Unknown,9.0,2022-03-01,2019-02-06
Unknown,8.1,2022-03-01,2018-03-01
Unknown,8.0,2019-10-31,2017-01-29
Unknown,7.1,2020-06-30,2016-03-29
Unknown,7.0,2017-12-04,2015-06-04
Unknown,6.1,2018-10-25,2014-10-25
Unknown,6.0,2017-03-19,2014-01-19
Unknown,5.1 (Panorama only),2017-05-09,2013-05-09
Unknown,5.0,2016-11-13,2012-11-13
Unknown,4.1,2015-04-30,2011-10-31
Unknown,4.0,2014-12-31,2011-02-22
Unknown,3.1,2013-06-30,2010-03-15
Unknown,3.0,2010-12-17,2009-06-17
Unknown,2.1,2012-01-05,2009-01-05
Unknown,2.0,2009-05-20,2008-05-20
Unknown,1.3,2008-11-20,2007-11-15
Unknown,AWS Version,,
Unknown,5.3.4,,2025-02-20
Unknown,5.3.3,2025-05-01,2025-02-14
Unknown,5.3.2,2025-05-01,2025-01-16
Unknown,5.3.1,,2024-11-22
Unknown,5.3.0,2025-05-01,2024-10-10
Unknown,5.2.2,2025-05-01,2024-04-25
Unknown,5.2.1,2025-05-01,2024-03-28
Unknown,5.2.0,2025-05-01,2024-02-15
Unknown,5.1.3,,2024-10-10
Unknown,5.1.2,2025-05-01,2024-09-24
Unknown,5.1.1,2024-08-01,2023-07-19
Unknown,5.0.1,2024-08-01,2023-05-24
Unknown,5.0.0,2024-08-01,2023-03-23
Unknown,4.1.0,2024-08-01,2023-01-24
Unknown,4.0.0,2024-08-01,2022-02-24
Unknown,3.0.3 (support 10.1),2025-08-31,2022-09-07
Unknown,3.0.2,2024-08-01,2022-01-24
Unknown,3.0.1,2024-08-01,2021-09-02
Unknown,3.0.0,2024-08-01,2021-08-06
Unknown,2.0.2 (9.1),2024-08-01,2020-08-06
Unknown,2.0.1,2024-08-01,2020-03-09
Unknown,2.0.0,2024-08-01,2020-01-14
Unknown,1.0.1,2024-08-01,2020-03-09
Unknown,1.0.0,2024-08-01,2019-08-24
Unknown,Azure Version,,
Unknown,5.2.2,,2024-12-19
Unknown,5.2.1,2025-05-01,2024-06-29
Unknown,5.2.0,2025-05-01,2024-05-29
Unknown,5.1.2,2025-05-01,2024-02-21
Unknown,5.1.1,2025-05-01,2023-09-14
Unknown,5.1.0,2025-05-01,2023-07-25
Unknown,5.0.0,2024-08-01,2023-04-27
Unknown,4.2.0,2024-08-01,2023-03-08
Unknown,4.1.0,2024-08-01,
Unknown,4.0.0,2024-08-01,2022-02-24
Unknown,3.2.2 (support 10.1),2025-08-31,2024-02-07
Unknown,3.2.1,2024-08-01,2022-07-28
Unknown,3.2.0,2024-08-01,2022-05-05
Unknown,3.1.0,2024-08-01,2021-06-10
Unknown,3.0.1,2024-08-01,2021-04-15
Unknown,3.0.0,2024-08-01,2020-12-17
Unknown,2.0.3,2024-08-01,2020-08-06
Unknown,2.0.2,2024-08-01,2020-03-09
Unknown,2.0.1,2024-08-01,2019-11-26
Unknown,2.0.0,2024-08-01,2019-07-25
Unknown,1.0.0,2024-08-01,2018-08-27
Unknown,GCP Version,,
Unknown,3.1.2,,2025-02-27
Unknown,3.1.1,2025-05-01,2024-09-23
Unknown,3.1.0,2024-08-01,2023-04-25
Unknown,3.0.0,2024-08-01,2022-04-05
Unknown,2.0.0 (support 10.1),2025-08-31,2020-03-26
Unknown,1.0.0,2024-08-01,2018-10-16
Unknown,NSX Version,,
Unknown,5.0.1,2024-08-01,2023-04-03
Unknown,5.0.0,2024-08-01,2023-08-01
Unknown,4.0.4 (support 10.1),2025-08-31,2023-10-16
Unknown,4.0.3,2024-08-01,2023-03-06
Unknown,4.0.2,2024-02-01,2022-11-30
Unknown,4.0.1,2024-12-01,
Unknown,4.0.0,2024-08-01,2021-08-05
Unknown,3.2.4,2024-08-01,2022-07-11
Unknown,3.2.3,2024-08-01,2021-08-10
Unknown,3.2.1,2024-08-01,2021-03-30
Unknown,3.2.0,2024-08-01,2020-08-27
Unknown,3.1.0,2024-08-01,2019-12-19
Unknown,2.0.6,2024-08-01,2020-04-21
Unknown,2.0.5,2024-08-01,2019-06-10
Unknown,2.0.4,2024-08-01,2019-02-12
Unknown,2.0.3,2024-08-01,2018-11-05
Unknown,2.0.2,2024-08-01,2018-05-22
Unknown,2.0.1,2024-08-01,2018-02-22
Unknown,vCenter Version,,
Unknown,2.1.0,,2023-01-11
Unknown,2.0.0 (support 10.1),2025-08-31,2022-08-01
Unknown,1.0.0,2024-08-01,2019-08-08
Unknown,ACI Version,,
Unknown,3.0.1,,2024-02-09
Unknown,3.0.0,2024-08-01,2022-04-05
Unknown,2.0.3 (10.1),2025-08-31,2022-01-27
Unknown,2.0.2,2024-08-01,2021-06-17
Unknown,2.0.1,2024-08-01,2021-02-02
Unknown,2.0.0,2024-08-01,2020-04-22
Unknown,1.0.1,2024-08-01,2019-08-29
Unknown,1.0.0,2024-08-01,2019-03-07
Unknown,Nutanix,,
Unknown,2.0.2,,2024-12-16
Unknown,2.0.1,2025-05-01,2023-01-02
Unknown,2.0.0,,2022-03-31
Unknown,1.0.0,2024-08-01,2019-12-02
Unknown,Version,,
Unknown,1.1.3,,2024-10-23
Unknown,1.1.2,2025-05-01,2024-09-15
Unknown,1.1.1,2024-08-01,2022-11-09
Unknown,1.1.0,2024-08-01,2022-07-05
Unknown,1.0.0,2024-08-01,2022-03-01
Unknown,Version,,
Unknown,4.0.0,2024-08-01,2023-03-29
Unknown,3.0.4,,2024-12-12
Unknown,3.0.3,2025-05-01,2024-10-03
Unknown,3.0.2,2025-05-01,2024-01-17
Unknown,3.0.1,2024-08-01,2022-11-30
Unknown,3.0.0,2024-08-01,2022-02-24
Unknown,2.0.2 (10.1),2024-12-01,2023-03-11
Unknown,2.0.1,2024-08-01,
Unknown,2.0.0,2024-08-01,2021-06-10
Unknown,1.0.5,2024-08-01,2022-06-15
Unknown,1.0.4,2024-08-01,2022-03-09
Unknown,1.0.3,2024-08-01,2021-10-07
Unknown,1.0.2,2024-08-01,2021-01-28
Unknown,1.0.1,2024-08-01,2020-11-05
Unknown,1.0.0,2024-08-01,2020-07-08
Unknown,Version,,
Unknown,9.1.0 (Cortex XDR agent),2026-11-22,2026-01-25
Unknown,9.0.0 (Cortex XDR agent),2026-08-23,2025-11-09
Unknown,8.9 (Cortex XDR agent),2026-04-21,2025-07-21
Unknown,8.8 (Cortex XDR agent),2026-02-18,2025-04-28
Unknown,8.7.100 CE (Cortex XDR agent),2027-07-02,2025-07-02
Unknown,8.7 (Cortex XDR agent),2025-11-23,2025-02-02
Unknown,8.6 (Cortex XDR agent),2025-07-13,2024-09-30
Unknown,8.5 (Cortex XDR agent),2025-04-21,2024-06-30
Unknown,8.4 (Cortex XDR agent),2025-02-05,2024-04-14
Unknown,8.3 CE (Cortex XDR agent),2026-05-21,2024-05-21
Unknown,8.3 (Cortex XDR agent),2024-11-25,2024-02-11
Unknown,8.2 (Cortex XDR agent),2024-08-12,2023-10-29
Unknown,8.1 (Cortex XDR agent),2024-04-09,2023-06-25
Unknown,8.0 (Cortex XDR agent),2023-12-19,2023-03-05
Unknown,7.9.103 CE (Cortex XDR agent),,2024-11-11
Unknown,7.9 CE (Cortex XDR agent),2025-03-19,2023-03-19
Unknown,7.9 (Cortex XDR agent),2023-09-11,2022-12-04
Unknown,7.8 (Cortex XDR agent),2023-04-24,2022-07-24
Unknown,7.7 (Cortex XDR agent),2022-12-27,2022-03-27
Unknown,7.6 (Cortex XDR agent),2022-09-05,2021-12-05
Unknown,7.5 CE (Cortex XDR Agent),2024-03-06,2022-03-06
Unknown,7.5 (Cortex XDR agent),2022-08-22,2021-08-22
Unknown,7.4 (Cortex XDR agent),2022-05-24,2021-05-24
Unknown,7.3 (Cortex XDR agent),2022-02-01,2021-02-01
Unknown,7.2 (Cortex XDR agent),2022-03-07,2020-09-07
