Title,IMDb Rating
Scream 7,5.9
The Bluff,5.8
Wuthering Heights,6.3
Marty Supreme,7.8
The Housemaid,6.8
Shelter,6.2
In the Blink of an Eye,6.0
Mortal Kombat II,No Rating
Jurassic World: Rebirth,5.8
One Battle After Another,7.7
Hamnet,7.9
Crime 101,7.1
GOAT,6.9
The Bride!,6.3
Sinners,7.5
Bugonia,7.4
28 Years Later: The Bone Temple,7.4
Mercy,6.1
"Good Luck, Have Fun, Don't Die",7.4
Send Help,7.2
Predator: Badlands,7.2
I Swear,8.4
Hoppers,No Rating
Firebreak,5.7
Project Hail Mary,No Rating
Scary Movie,No Rating
Song Sung Blue,7.3
Frankenstein,7.4
Train Dreams,7.5
The Rip,6.8
The Secret Agent,7.3
Accused,4.4
How to Make a Killing,6.7
Scream,7.4
Sentimental Value,7.8
One Mile,5.6
Nuremberg,7.4
The Wrecking Crew,6.4
Dead of Winter,6.1
Backrooms,No Rating
Zootopia 2,7.4
Rental Family,7.6
The Running Man,6.4
Scream VI,6.4
Father Mother Sister Brother,6.6
F1: The Movie,7.6
Trap House,5.4
Weapons,7.4
Dracula,6.2
Return to Silent Hill,4.0
If I Had Legs I'd Kick You,6.6
Teenage Sex and Death at Camp Miasma,No Rating
Wake Up Dead Man,7.3
The Shawshank Redemption,9.3
Avatar: Fire and Ash,7.4
Eternity,6.9
Scream,6.3
Roofman,7.0
Interstellar,8.7
Abigail,6.5
Toy Story 5,No Rating
Iron Lung,6.5
28 Years Later,6.6
Bandit,6.5
Anaconda,5.6
Peaky Blinders: The Immortal Man,No Rating
The Godfather,9.2
Sirat,7.0
Mortal Kombat,6.1
Pillion,6.9
Dead Man's Wire,6.6
Dhurandhar,8.3
No Other Choice,7.6
EPiC: Elvis Presley in Concert,8.4
The War of the Worlds,7.0
Ready or Not 2: Here I Come,No Rating
Seeking Persephone,9.0
Mission: Impossible - The Final Reckoning,7.2
The Swedish Connection,6.9
The Lord of the Rings: The Fellowship of the Ring,8.9
The Christophers,6.6
Romance at Hope Ranch,5.8
The Testament of Ann Lee,7.0
Inception,8.8
Is This Thing On?,6.8
Heat,8.3
War Machine,7.1
Now You See Me: Now You Don't,5.9
Good Will Hunting,8.4
The Substance,7.2
Solo Mio,7.5
Scream 4,6.2
I Can Only Imagine 2,7.6
The Odyssey,No Rating
Primate,5.9
Blue Moon,6.8
The Dark Knight,9.1
Scary Movie,6.3
Ready or Not,6.8
People We Meet on Vacation,6.6
