DATE,CITY,TEMPRATURE,HUMIDITY,WEATHER
28-02-2024,Mumbai,24,68.69,Clear
29-01-2024,Delhi,16.2,73.14,Rain
                                                               01-19-2024,Bangalore,26.8,71.37,Sunny
18-02-2024,Kolkata,25.31,90,Rain
01-02-2024,Delhi,31.3,83,Rain
15-01-2024,Kolkata,25.31,73.14,Rain
01-09-2024,Bangalore,26.78,53,Cloudy
02-06-2024,Bangalore,25.31,61,Rain
16-01-2024,Mumbai,25.54,71.37,Sunny
15-02-2024,Kolkata,24,88,Clear
02-01-2024,Delhi,26.78,81,Cloudy
26-01-2024,Chennai,25.31,78,Rain
16-01-2024,Mumbai,25.54,87,Sunny
30-01-2024,Mumbai,18.2,73.14,Rain
28-02-2024,Chennai,26.78,51,Cloudy
24-01-2024,Bangalore,28.1,86,Rain
27-02-2024,Mumbai,31,73.14,Rain
25-02-2024,Delhi,21.6,68.69,Clear
17-02-2024,Bangalore,23.1,68.69,Clear
                                                                02-16-2024,Chennai,27.4,73.14,Rain
                                                                01-22-2024,Kolkata,25.31,73.14,Rain
08-01-2024,Mumbai,24.3,66.55,Cloudy
02-03-2024,Chennai,24,64,Clear
01-13-2024,Mumbai,21.8,59,Sunny
04-01-2024,Bangalore,23,73.14,Rain
01-09-2024,Delhi,25.54,71,Sunny
16-02-2024,Delhi,23.1,71.37,Sunny
02-21-2024,Chennai,25.54,82,Sunny
18-02-2024,Delhi,17,62,Cloudy
16-02-2024,Delhi,26.8,86,Sunny
22-02-2024,Delhi,24,60,Clear
26-01-2024,Kolkata,25.54,71.37,Sunny
27-01-2024,Kolkata,23.5,68.69,Clear
01-08-2024,Bangalore,30.5,68,Cloudy
03-01-2024,Mumbai,24,62,Clear
22-02-2024,Delhi,27.8,68.69,Clear
07-01-2024,Mumbai,26.78,57,Cloudy
26-01-2024,Bangalore,31,71.37,Sunny
01-03-2024,Delhi,31.3,73.14,Rain
20-01-2024,Bangalore,26.78,66,Cloudy
24-01-2024,Delhi,26.2,73.14,Rain
13-01-2024,Mumbai,26.78,66.55,Cloudy
02-29-2024,Mumbai,29.9,60,Sunny
27-01-2024,Mumbai,25.31,73.14,Rain
01-16-2024,Kolkata,25.31,73.14,Rain
20-01-2024,Delhi,26.78,52,Cloudy
02-06-2024,Delhi,21.4,63,Rain
01-11-2024,Bangalore,19.3,56,Sunny
20-01-2024,Delhi,26.9,68.69,Clear
02-02-2024,Delhi,30.2,70,Cloudy
16-02-2024,Chennai,24,68.69,Clear
20-01-2024,Delhi,29.8,76,Sunny
01-22-2024,Mumbai,22.8,68,Sunny
12-02-2024,Delhi,24,68.69,Clear
11-02-2024,Mumbai,32.5,71.37,Sunny
12-02-2024,Bangalore,26.78,60,Cloudy
23-02-2024,Delhi,17.6,52,Sunny
17-02-2024,Delhi,33.1,52,Cloudy
25-02-2024,Chennai,15.9,59,Sunny
03-02-2024,Mumbai,24,72,Clear
15-01-2024,Delhi,25.31,73.14,Rain
28-01-2024,Bangalore,17.7,73.14,Rain
01-31-2024,Mumbai,25.31,71,Rain
07-01-2024,Bangalore,25.54,71.37,Sunny
05-02-2024,Chennai,25.1,54,Cloudy
02-09-2024,Bangalore,16.5,79,Clear
03-02-2024,Kolkata,24,68.69,Clear
01-02-2024,Delhi,25.31,73.14,Rain
16-01-2024,Bangalore,27.6,55,Sunny
09-02-2024,Delhi,33.1,68.69,Clear
08-02-2024,Mumbai,26.78,66.55,Cloudy
01-27-2024,Kolkata,24.6,68.69,Clear
19-02-2024,Delhi,25.31,73.14,Rain
02-07-2024,Mumbai,24,59,Clear
23-01-2024,Delhi,25.54,71.37,Sunny
29-01-2024,Mumbai,32.2,73.14,Rain
11-01-2024,Mumbai,25.54,71.37,Sunny
20-01-2024,Chennai,33.8,68.69,Clear
20-02-2024,Bangalore,25.31,58,Rain
02-12-2024,Kolkata,32.2,71.37,Sunny
29-01-2024,Delhi,24,68.69,Clear
14-02-2024,Mumbai,28.9,56,Rain
16-02-2024,Chennai,25.6,66.55,Cloudy
13-01-2024,Kolkata,25.54,71.37,Sunny
14-01-2024,Kolkata,33.2,73.14,Rain
19-01-2024,Mumbai,29.1,71.37,Sunny
15-02-2024,Bangalore,25.31,73.14,Rain
01-14-2024,Delhi,32.3,66.55,Cloudy
15-01-2024,Mumbai,25.31,73.14,Rain
02-22-2024,Mumbai,27.2,54,Clear
29-02-2024,Delhi,31.8,55,Rain
02-18-2024,Kolkata,22.3,73.14,Rain
02-02-2024,Kolkata,16.8,67,Rain
29-01-2024,Kolkata,24,53,Clear
01-05-2024,Bangalore,34,66.55,Cloudy
02-09-2024,Chennai,24,73,Clear
01-03-2024,Bangalore,31.8,81,Rain
15-01-2024,Delhi,24,88,Clear
18-01-2024,Delhi,25.54,79,Sunny
23-01-2024,Delhi,24,62,Clear
30-01-2024,Bangalore,25.54,71.37,Sunny
12-02-2024,Bangalore,25.54,61,Sunny
05-01-2024,Mumbai,34.4,67,Sunny
02-21-2024,Mumbai,25.31,73.14,Rain
12-02-2024,Delhi,26.6,59,Clear
26-01-2024,Kolkata,27,73.14,Rain
01-16-2024,Delhi,25.31,73.14,Rain
10-02-2024,Mumbai,25.31,88,Rain
15-02-2024,Delhi,24,50,Clear
26-01-2024,Bangalore,25.31,73.14,Rain
10-01-2024,Delhi,21.3,54,Sunny
21-01-2024,Mumbai,17.7,66.55,Cloudy
20-01-2024,Chennai,33.2,73.14,Rain
01-20-2024,Bangalore,15.5,71.37,Sunny
11-01-2024,Delhi,25.54,88,Sunny
04-02-2024,Bangalore,25.54,75,Sunny
02-10-2024,Mumbai,24,90,Clear
01-01-2024,Kolkata,24,84,Clear
01-09-2024,Delhi,24,56,Sunny
22-02-2024,Mumbai,29.3,66.55,Cloudy
01-15-2024,Delhi,24,68.69,Clear
01-28-2024,Mumbai,25.54,55,Sunny
27-02-2024,Bangalore,28.4,58,Clear
08-02-2024,Chennai,31,82,Rain
11-02-2024,Delhi,25.31,73.14,Rain
14-01-2024,Chennai,25.31,73.14,Rain
11-01-2024,Bangalore,27.6,85,Rain
17-01-2024,Bangalore,25.31,73.14,Rain
26-02-2024,Kolkata,23.1,66.55,Cloudy
18-02-2024,Chennai,15.8,63,Cloudy
23-01-2024,Delhi,25.9,76,Sunny
08-02-2024,Delhi,24.5,73.14,Rain
15-01-2024,Chennai,22.5,65,Cloudy
02-27-2024,Kolkata,24,53,Clear
28-02-2024,Mumbai,25.31,73.14,Rain
01-18-2024,Chennai,16.6,78,Clear
30-01-2024,Bangalore,24,68.69,Clear
28-02-2024,Chennai,34.5,87,Rain
18-02-2024,Chennai,26.3,73.14,Rain
06-02-2024,Mumbai,25.31,51,Rain
01-15-2024,Bangalore,24,68.69,Clear
11-01-2024,Mumbai,24,71,Clear
01-14-2024,Mumbai,33.5,68.69,Clear
25-02-2024,Bangalore,25.9,73.14,Rain
21-01-2024,Kolkata,22.9,74,Sunny
25-02-2024,Mumbai,32.3,90,Cloudy
01-01-2024,Delhi,25.31,56,Rain
28-01-2024,Kolkata,25.31,81,Rain
21-02-2024,Chennai,25.31,73.14,Rain
01-14-2024,Kolkata,25.8,73.14,Rain
06-02-2024,Mumbai,33.6,71.37,Sunny
09-02-2024,Mumbai,28.4,64,Cloudy
01-01-2024,Delhi,22.2,68.69,Clear
01-02-2024,Kolkata,25.8,73.14,Rain
20-01-2024,Kolkata,26.78,66.55,Cloudy
02-14-2024,Chennai,25.54,83,Sunny
02-29-2024,Delhi,25.31,73.14,Rain
02-02-2024,Delhi,24,70,Clear
24-01-2024,Kolkata,28.2,66.55,Cloudy
01-26-2024,Delhi,25.31,73.14,Rain
25-01-2024,Bangalore,25.54,71.37,Sunny
03-02-2024,Mumbai,30.7,79,Rain
03-02-2024,Mumbai,28.5,74,Rain
29-02-2024,Bangalore,25.54,74,Sunny
27-02-2024,Chennai,20.3,73.14,Rain
19-02-2024,Bangalore,24,64,Clear
10-01-2024,Mumbai,24,68.69,Clear
03-01-2024,Mumbai,25.31,73.14,Rain
25-01-2024,Bangalore,24,57,Clear
31-01-2024,Kolkata,30.8,73.14,Rain
25-02-2024,Kolkata,25.31,66,Rain
27-02-2024,Bangalore,34.3,66.55,Cloudy
01-28-2024,Kolkata,25.31,80,Rain
24-02-2024,Delhi,24,68.69,Clear
01-31-2024,Delhi,26.78,66.55,Cloudy
19-02-2024,Chennai,24,55,Clear
18-01-2024,Kolkata,25.31,76,Rain
21-01-2024,Mumbai,29.4,71.37,Sunny
02-26-2024,Delhi,33.1,60,Sunny
01-31-2024,Bangalore,25.31,89,Rain
01-22-2024,Delhi,22.6,71.37,Sunny
02-21-2024,Delhi,24,72,Clear
23-02-2024,Chennai,25.31,90,Rain
17-02-2024,Bangalore,29,87,Rain
16-01-2024,Mumbai,34.4,64,Cloudy
02-02-2024,Chennai,24,68.69,Clear
20-01-2024,Kolkata,25.31,64,Rain
07-01-2024,Kolkata,25.31,73.14,Rain
02-14-2024,Mumbai,24,68.69,Clear
14-01-2024,Delhi,20.8,73.14,Rain
26-01-2024,Kolkata,31.9,86,Clear
15-01-2024,Kolkata,17,52,Rain
06-01-2024,Mumbai,26.78,51,Cloudy
23-02-2024,Mumbai,25.5,66,Rain
13-01-2024,Kolkata,26.78,66.55,Cloudy
14-02-2024,Delhi,25.54,77,Sunny
08-01-2024,Mumbai,25.31,89,Rain
20-02-2024,Bangalore,30.5,80,Rain
08-02-2024,Delhi,34,66.55,Cloudy
01-02-2024,Chennai,24,68.69,Clear
18-02-2024,Delhi,18.4,68.69,Clear
11-01-2024,Delhi,25.31,53,Rain
01-24-2024,Delhi,25.31,73.14,Rain
17-01-2024,Bangalore,26.6,69,Sunny
02-21-2024,Kolkata,23.3,71.37,Sunny
10-01-2024,Mumbai,25.31,53,Rain
12-02-2024,Mumbai,19.8,53,Clear
23-01-2024,Kolkata,31.5,73.14,Rain
02-25-2024,Delhi,25.31,89,Rain
01-08-2024,Kolkata,24,68.69,Clear
19-01-2024,Chennai,26.2,82,Clear
02-21-2024,Mumbai,25.31,65,Rain
28-01-2024,Kolkata,23,68.69,Clear
02-23-2024,Mumbai,25.54,78,Sunny
06-01-2024,Kolkata,16.5,71.37,Sunny
02-05-2024,Chennai,25.54,89,Sunny
27-02-2024,Chennai,19.7,85,Rain
16-01-2024,Chennai,30,78,Rain
03-01-2024,Delhi,26.78,66.55,Cloudy
29-01-2024,Kolkata,34.9,74,Sunny
02-02-2024,Delhi,15.4,63,Rain
24-02-2024,Mumbai,25.31,73.14,Rain
01-11-2024,Delhi,27.2,76,Sunny
09-02-2024,Mumbai,26.78,66.55,Cloudy
01-18-2024,Delhi,25.31,76,Rain
24-01-2024,Chennai,24,68.69,Clear
29-01-2024,Mumbai,26.6,71.37,Sunny
27-01-2024,Delhi,20.8,71.37,Sunny
23-01-2024,Mumbai,29.7,52,Sunny
01-05-2024,Mumbai,23.4,79,Clear
02-08-2024,Kolkata,18.6,66.55,Cloudy
24-02-2024,Bangalore,31.7,85,Rain
02-22-2024,Kolkata,19.5,71.37,Sunny
19-01-2024,Delhi,26.78,90,Cloudy
02-02-2024,Bangalore,25.54,71.37,Sunny
16-02-2024,Kolkata,16.5,71.37,Sunny
01-24-2024,Delhi,25.31,57,Rain
19-02-2024,Mumbai,25.54,71.37,Sunny
01-10-2024,Kolkata,19.1,66.55,Cloudy
02-02-2024,Delhi,24,88,Clear
03-02-2024,Delhi,25.31,69,Rain
08-02-2024,Mumbai,24,68.69,Clear
19-01-2024,Delhi,26.78,61,Cloudy
19-01-2024,Mumbai,27.8,58,Clear
03-02-2024,Delhi,26.78,68,Cloudy
02-10-2024,Mumbai,21.1,73.14,Rain
02-17-2024,Kolkata,30.4,71.37,Sunny
01-18-2024,Delhi,25.31,73.14,Rain
21-01-2024,Mumbai,25.31,73.14,Rain
01-26-2024,Mumbai,25.31,73.14,Rain
24-02-2024,Chennai,16.1,90,Clear
28-01-2024,Bangalore,21.6,68.69,Clear
01-24-2024,Chennai,25.31,73.14,Rain
07-01-2024,Mumbai,34.5,86,Sunny
15-01-2024,Delhi,30.1,62,Cloudy
01-15-2024,Bangalore,25.31,83,Rain
24-01-2024,Kolkata,28.6,73.14,Rain
05-01-2024,Delhi,23,68.69,Clear
02-05-2024,Mumbai,25.54,71.37,Sunny
18-01-2024,Bangalore,25.7,88,Rain
15-02-2024,Bangalore,26.8,71,Rain
28-01-2024,Kolkata,25.7,76,Sunny
22-01-2024,Mumbai,26.78,66.55,Cloudy
20-01-2024,Chennai,19,73.14,Rain
03-02-2024,Delhi,25.31,73.14,Rain
02-28-2024,Delhi,25.54,71.37,Sunny
27-02-2024,Chennai,25.31,87,Rain
24-02-2024,Mumbai,25.54,71.37,Sunny
09-01-2024,Mumbai,25.54,86,Sunny
09-01-2024,Delhi,21.8,66.55,Cloudy
01-10-2024,Kolkata,24,68.69,Clear
01-03-2024,Delhi,24,68.69,Clear
10-01-2024,Kolkata,25.54,59,Sunny
01-06-2024,Delhi,15.4,73.14,Rain
10-02-2024,Delhi,24,80,Clear
25-02-2024,Chennai,18,73.14,Rain
01-22-2024,Mumbai,32.6,87,Rain
01-18-2024,Delhi,24,69,Clear
02-08-2024,Bangalore,19.3,81,Sunny
02-20-2024,Bangalore,24,66,Clear
10-01-2024,Delhi,25.54,56,Sunny
24-02-2024,Bangalore,18.4,54,Clear
07-02-2024,Bangalore,17,55,Sunny
01-11-2024,Mumbai,15.3,77,Clear
29-02-2024,Delhi,29.2,71.37,Sunny
07-01-2024,Mumbai,30.5,71.37,Sunny
29-01-2024,Mumbai,25.31,73.14,Rain
04-02-2024,Delhi,26.78,73,Cloudy
