Date,City,Temperature,Humidity,Weather,City_Weather
28-02-2024,Mumbai,,,Clear,Mumbai-Clear
29-01-2024,Delhi,16.2,,rain,Delhi-rain
                                                               01-19-2024,Bangalore,26.8,,Sunny,Bangalore-Sunny
18-Feb-24,Kolkata,,90,rain,Kolkata-rain
01-Feb-24,delhi,31.3,83,rain,delhi-rain
15-01-2024,Kolkata,,,Rain,Kolkata-Rain
01-09-2024,Bangalore,,53,Cloudy,Bangalore-Cloudy
02-06-2024,Bangalore,,61,Rain,Bangalore-Rain
16-01-2024,mumbai,,,Sunny,mumbai-Sunny
15-02-2024,Kolkata,,88,CLEAR,Kolkata-CLEAR
02-01-2024,delhi,,81,Cloudy,delhi-Cloudy
26-01-2024,Chennai,,78,Rain,Chennai-Rain
16-Jan-24,Mumbai,,87,sunny,Mumbai-sunny
30-01-2024,Mumbai,18.2,,Rain,Mumbai-Rain
28-02-2024,Chennai,,51,Cloudy,Chennai-Cloudy
24-Jan-24,Bangalore,28.1,86,Rain,Bangalore-Rain
27-Feb-24,mumbai,31,,Rain,mumbai-Rain
25-02-2024,Delhi,21.6,,Clear,Delhi-Clear
17-02-2024,Bangalore,23.1,,CLEAR,Bangalore-CLEAR
                                                                02-16-2024,Chennai,27.4,,rain,Chennai-rain
                                                                01-22-2024,Kolkata,,,rain,Kolkata-rain
08-01-2024,mumbai,24.3,,Cloudy,mumbai-Cloudy
02-03-2024,Chennai,,64,Clear,Chennai-Clear
01-13-2024,Mumbai,21.8,59,Sunny,Mumbai-Sunny
04-01-2024,Bangalore,23,,rain,Bangalore-rain
01-09-2024,Delhi,,71,sunny,Delhi-sunny
16-02-2024,delhi,23.1,,sunny,delhi-sunny
02-21-2024,Chennai,,82,Sunny,Chennai-Sunny
18-02-2024,delhi,17,62,Cloudy,delhi-Cloudy
16-02-2024,delhi,26.8,86,sunny,delhi-sunny
22-02-2024,Delhi,,60,CLEAR,Delhi-CLEAR
26-01-2024,Kolkata,,,Sunny,Kolkata-Sunny
27-01-2024,Kolkata,23.5,,Clear,Kolkata-Clear
01-08-2024,Bangalore,30.5,68,Cloudy,Bangalore-Cloudy
03-Jan-24,mumbai,,62,Clear,mumbai-Clear
22-02-2024,Delhi,27.8,,Clear,Delhi-Clear
07-01-2024,Mumbai,,57,Cloudy,Mumbai-Cloudy
26-01-2024,Bangalore,31,,sunny,Bangalore-sunny
01-Mar-24,Delhi,31.3,,Rain,Delhi-Rain
20-01-2024,Bangalore,,66,Cloudy,Bangalore-Cloudy
24-Jan-24,Delhi,26.2,,rain,Delhi-rain
13-01-2024,mumbai,,,Cloudy,mumbai-Cloudy
02-29-2024,mumbai,29.9,60,sunny,mumbai-sunny
27-01-2024,mumbai,,,Rain,mumbai-Rain
01-16-2024,Kolkata,,,Rain,Kolkata-Rain
20-01-2024,Delhi,,52,Cloudy,Delhi-Cloudy
02-06-2024,delhi,21.4,63,Rain,delhi-Rain
01-11-2024,Bangalore,19.3,56,sunny,Bangalore-sunny
20-Jan-24,delhi,26.9,,CLEAR,delhi-CLEAR
02-02-2024,Delhi,30.2,70,Cloudy,Delhi-Cloudy
16-02-2024,Chennai,,,Clear,Chennai-Clear
20-01-2024,Delhi,29.8,76,sunny,Delhi-sunny
01-22-2024,mumbai,22.8,68,Sunny,mumbai-Sunny
12-Feb-24,Delhi,,,CLEAR,Delhi-CLEAR
11-Feb-24,Mumbai,32.5,,Sunny,Mumbai-Sunny
12-Feb-24,Bangalore,,60,Cloudy,Bangalore-Cloudy
23-02-2024,Delhi,17.6,52,Sunny,Delhi-Sunny
17-02-2024,Delhi,33.1,52,Cloudy,Delhi-Cloudy
25-02-2024,Chennai,15.9,59,sunny,Chennai-sunny
03-Feb-24,Mumbai,,72,Clear,Mumbai-Clear
15-01-2024,Delhi,,,rain,Delhi-rain
28-01-2024,Bangalore,17.7,,rain,Bangalore-rain
01-31-2024,mumbai,,71,rain,mumbai-rain
07-01-2024,Bangalore,,,sunny,Bangalore-sunny
05-02-2024,Chennai,25.1,54,Cloudy,Chennai-Cloudy
02-09-2024,Bangalore,16.5,79,CLEAR,Bangalore-CLEAR
03-02-2024,Kolkata,,,Clear,Kolkata-Clear
01-02-2024,delhi,,,rain,delhi-rain
16-Jan-24,Bangalore,27.6,55,Sunny,Bangalore-Sunny
09-02-2024,delhi,33.1,,Clear,delhi-Clear
08-Feb-24,mumbai,,,Cloudy,mumbai-Cloudy
01-27-2024,Kolkata,24.6,,CLEAR,Kolkata-CLEAR
19-Feb-24,delhi,,,Rain,delhi-Rain
02-07-2024,mumbai,,59,Clear,mumbai-Clear
23-01-2024,Delhi,,,Sunny,Delhi-Sunny
29-Jan-24,Mumbai,32.2,,rain,Mumbai-rain
11-01-2024,mumbai,,,Sunny,mumbai-Sunny
20-Jan-24,Chennai,33.8,,Clear,Chennai-Clear
20-02-2024,Bangalore,,58,rain,Bangalore-rain
02-12-2024,Kolkata,32.2,,sunny,Kolkata-sunny
29-Jan-24,delhi,,,CLEAR,delhi-CLEAR
14-Feb-24,mumbai,28.9,56,Rain,mumbai-Rain
16-02-2024,Chennai,25.6,,Cloudy,Chennai-Cloudy
13-Jan-24,Kolkata,,,sunny,Kolkata-sunny
14-01-2024,Kolkata,33.2,,Rain,Kolkata-Rain
19-Jan-24,Mumbai,29.1,,Sunny,Mumbai-Sunny
15-02-2024,Bangalore,,,rain,Bangalore-rain
01-14-2024,delhi,32.3,,Cloudy,delhi-Cloudy
15-Jan-24,mumbai,,,Rain,mumbai-Rain
02-22-2024,mumbai,27.2,54,CLEAR,mumbai-CLEAR
29-Feb-24,Delhi,31.8,55,Rain,Delhi-Rain
02-18-2024,Kolkata,22.3,,rain,Kolkata-rain
02-02-2024,Kolkata,16.8,67,Rain,Kolkata-Rain
29-Jan-24,Kolkata,,53,Clear,Kolkata-Clear
01-05-2024,Bangalore,34,,Cloudy,Bangalore-Cloudy
02-09-2024,Chennai,,73,CLEAR,Chennai-CLEAR
01-Mar-24,Bangalore,31.8,81,rain,Bangalore-rain
15-01-2024,delhi,,88,Clear,delhi-Clear
18-01-2024,delhi,,79,Sunny,delhi-Sunny
23-Jan-24,delhi,,62,CLEAR,delhi-CLEAR
30-01-2024,Bangalore,,,Sunny,Bangalore-Sunny
12-02-2024,Bangalore,,61,sunny,Bangalore-sunny
05-01-2024,Mumbai,34.4,67,Sunny,Mumbai-Sunny
02-21-2024,mumbai,,,rain,mumbai-rain
12-02-2024,delhi,26.6,59,Clear,delhi-Clear
26-Jan-24,Kolkata,27,,rain,Kolkata-rain
01-16-2024,delhi,,,rain,delhi-rain
10-02-2024,Mumbai,,88,rain,Mumbai-rain
15-02-2024,delhi,,50,Clear,delhi-Clear
26-Jan-24,Bangalore,,,rain,Bangalore-rain
10-01-2024,delhi,21.3,54,Sunny,delhi-Sunny
21-01-2024,mumbai,17.7,,Cloudy,mumbai-Cloudy
20-01-2024,Chennai,33.2,,Rain,Chennai-Rain
01-20-2024,Bangalore,15.5,,Sunny,Bangalore-Sunny
11-Jan-24,delhi,,88,Sunny,delhi-Sunny
